Item #	Item Description	R Value	Donar	Advertisement
1	Manicure and Pedicure	$54.00	The Body Natural	Daily health rituals & practices can awaken our environment with great purpose & clairty.  Come in & experience plant-based aromatherapy in a relaxing atmosphere.
2	"200 Computer Calendar's, start Calendar Any Month-your Custom Copy"	$200.00	The Chest	Start your calendars with any month.
3	200 Computer Calendars with Your Custom Copy Start Calendar with any Month	$200.00	The Chest	Start your calendars with any month.
4	Three Foot Party Sub	$39.99	Quiznos	
5	$50.00 Gift Card	$50.00	Advanced Auto Parts	Were ready in advance.
6	$25 Worth of Products	$25.00	Tom Hoerstkamp - Tom's Barber Shop	"Tom's' Barber Shop, 203 West Main in Downtown Washington"
7	"Anheuser Busch-Budweiser-Pool Table Lamp 20""x48"""	$395.00	Tom & Kimra Coons	
8	Gift Certificate towards any carpet or upholstery cleaning	$60.00	Rainbow Inter. Carpet	Rainbow International - Carpet & Upholstery Cleaning and Restoration
9	Two adult season passes to the Washington Town & Country Fair	$74.00	AmerenUE	
10	4-20 oq. Acrylic Mugs-Plue Turtle Shell Design	$30.00	Quick Point	"Mugs are great for outside on the patio, at the pool, or on your boat"
11	Two adult season passes to the Washington Town & Country Fair	$74.00	Ameren UE	
12	$50 Gift Certificate	$50.00	TIME TO TRAVEL	Call Andy and his staff @636-239-3040 for all your travel plans
13	115 Piece Homeowner's Tool Set	$49.99	Washington Lumber Do It Center	Full-service Lumber and Hardware Store
14	$50 Gift Certificate	$50.00	TIME TO TRAVEL	Call Andy and his staff @636-239-3040 for all your travel plans
15	115 Piece Homeowners Tool Set	$49.99	Washington Lumber Do It Center	Full-service Lumber & Hardware Store
16	Outdoor Light Fixture for Entry Way	$100.00	Butler Supply Co	
17	Two $20 Gift Certificates	$40.00	Applebee's Bar and Grill	New Pick 'n' Pair Luncd Combos Now Available
18	$50 Gift Certificate	$50.00	Starcrest Cleaners	Bright Ideas in dry cleaning
19	Two $20 Gift Certificates	$40.00	Applebee's Bar and Grill	New Pick 'n' Pair Lunch Combos Now Available
20	$50 Gift Certificate	$50.00	Altemueller Jewelry Store	"Diamonds, fine jewlry, gifts and collectibles - all with the best selection, service, price and integrity."
21	$50 Gift Certificate	$50.00	Altemueller Jewelry Store	"Diamonds, fine jewlry, gifts and collectibles - all with the best selection, service, price and integrity."
22	$100 Gift Certificate	$100.00	Kravitz Tire & Auto	Call Joe and his staff  for all your automotive repair needs at 636-239-6668
23	$50 Gift Certifacte	$50.00	Starcrest Cleaners	Bright Ides in dry cleaning
24	Two 6-oz Sirloin Dinners - Includes Buffet and Sundae Bar	$25.00	Washington Ponderosa	
25	Two 6-oz Sirloin Dinners - Includes Buffet 7 Sundae Bar	$25.00	Washington Ponderosa Steakhouse	
26	Two 6-oz Sirloin Dinners - Includes Buffet & Sundae Bar	$25.00	Washington Ponderosa Steakhouse	
27	Swing Dance Class for couple Thursdays June 7-July 12 7-8:30PM	$55.00	East Central College	For information on this and many other fun Community Education opportunities call 636-583-5193 x 2410 to get a full schedule mailed to your home
28	$25 Travel Coupon	$25.00	Mid American Coaches	"In Operation for Over 80 Years, Mid-American Coaches is Known as the Premier Motor Coach Company in Missouri and Illinois."
29	"Kids Summer One Day Camp- ""Dissecting A Frog"" July 13 th"	$25.00	East Central College	To get more information about this and many other 'summer camps for kids' call 636-583-5193 ext 2410 to get a schedule mailed to your home.
