Item #	Item Description	R Value	Donar	Advertisement
3	Dinner for 4 at Creamery Hill	$100.00	Greg's Distributing	For all your potato chip and candy needs.
4	$50.00 Mid American Tours Gift Certificate	$50.00	Mid American Coaches	Making your travel dreams a reality.
5	Men's Swiss Army Watch	$130.00	Promotional Consultants	Assisting you with all of your promotional needs.  Call 636-584-7000
6	McKenzie pass Tent by Columbia Sportswear Co.	$125.00	"North Pole U.S., LLC"	"2-3 Person Tent with Tub Floor/ sealed and double coated rainfly.  Additional features include:  pocket organizer and shelf unit for easy storage, carry bag has wheels"
7	McKenzie Pass Tent	$125.00	"North Pole U.S., LLC"	"2-3 Person Tent with Tub Floor/ sealed and double coated rainfly.  Additional features include:  pocket organizer and shelf unit for easy storage, carry bag has wheels"
8	McKenzie Pass Tent - Columbia Sportswear Co	$125.00	"North Pole U.S., LLC"	"2-3 Person Tent with Tub Floor/ sealed and double coated rainfly.  Additional features include:  pocket organizer and shelf unit for easy storage, carry bag has wheels"
9	McKenzie Pass Tent by Columbia Sportswear Co	$125.00	"North Pole U.S., LLC"	"2-3 Person Tent with Tub Floor/ sealed and double coated rainfly.  Additional features include:  pocket organizer and shelf unit for easy storage, carry bag has wheels"
10	Yorkstone Sleeping Bag by Columbia Sportswear	$110.00	"North Pole U.S., LLC"	"Mummy style, Queen Size with 2 detachable pillows, 6lb weight; rated at +30 degrees farenheit.  60""x80"" overall size"
11	Yorkshire Sleeping Bag by Columbia Sportswear Co	$110.00	"North Pole U.S., LLC"	"Mummy style, Queen Size with 2 detachable pillows, 6lb weight; rated at +30 degrees farenheit.  60""x80"" overall size"
12	2 Summitcrest Chairs  with columbia Logo	$120.00	"North Pole U.S., LLC"	Portable; mesh panels and lumbar support; 225lbs maximum seating capacity (each chair).
13	New Yort Giants 10 x 10 Gazebo	$179.99	"North Pole U.S., LLC"	Official NFL product - great for Tailgating
14	Disney Kid's Sleeping Bag features Mickey	$19.99	"North Pole U.S., LLC"	"Mickey and Donald ""canoe excursion"" theme indoor/outdoor use - Great for slumber parties!  Washable polyester 29"" x 60"" overall size"
15	Disney Kid's Sleeping Bag - Mickey	$19.99	"North Pole U.S., LLC"	"Mickey and Donald ""canoe excursion"" theme indoor/outdoor use - Great for slumber parties!  Washable polyester 29"" x 60"" overall size"
16	Disney Kid's Sleeping Bag - Mickey	$19.99	"North Pole U.S., LLC"	"Mickey and Donald ""canoe excursion"" theme indoor/outdoor use - Great for slumber parties!  Washable polyester 29"" x 60"" overall size"
17	Disney Kid's Sleeping Bag - Mickey	$19.99	"North Pole U.S., LLC"	"Mickey and Donald ""canoe excursion"" theme indoor/outdoor use - Great for slumber parties!  Washable polyester 29"" x 60"" overall size"
